cluster,sample,treatment,n_cells,STAB1_positive_cells,percent_STAB1_positive,mean_STAB1
0,sample1,Pre-NACT,8,2,25.0,0.4075697
0,sample2,Pre-NACT,23,16,69.56521739130434,1.0718946
0,sample3,Pre-NACT,86,59,68.6046511627907,1.2814077
0,sample4,Post-NACT,36,24,66.66666666666666,0.97283703
0,sample5,Post-NACT,4984,3668,73.59550561797754,1.388474
0,sample6,Post-NACT,484,431,89.0495867768595,1.7874708
0,sample7,Post-NACT,27,21,77.77777777777779,1.5829847
5,sample1,Pre-NACT,66,21,31.818181818181817,0.34040278
5,sample2,Pre-NACT,207,78,37.68115942028986,0.30479404
5,sample3,Pre-NACT,320,190,59.375,0.7181041
5,sample4,Post-NACT,482,264,54.77178423236515,0.5743655
5,sample5,Post-NACT,573,367,64.04886561954625,0.8527962
5,sample6,Post-NACT,1678,1070,63.766388557806906,0.8479523
5,sample7,Post-NACT,327,239,73.08868501529052,0.91291785
11,sample1,Pre-NACT,103,39,37.86407766990291,0.4573488
11,sample2,Pre-NACT,15,11,73.33333333333333,0.78392476
11,sample3,Pre-NACT,240,166,69.16666666666667,0.9168672
11,sample4,Post-NACT,124,62,50.0,0.63490826
11,sample5,Post-NACT,778,223,28.663239074550127,0.33068958
11,sample6,Post-NACT,1164,387,33.24742268041237,0.4424021
11,sample7,Post-NACT,179,117,65.36312849162012,0.92314005
