sample,treatment,cluster,n_cells,n_STAB1_positive,mean_STAB1,pct_STAB1_positive
sample1,Pre-NACT,0,1195,192,0.108958,16.066946
sample1,Pre-NACT,2,99,39,0.465469,39.393939
sample1,Pre-NACT,26,14,10,0.900578,71.428571
sample1,Pre-NACT,3,7,1,0.127634,14.285714
sample1,Pre-NACT,4,264,17,0.037416,6.439394
sample1,Pre-NACT,7,203,104,0.235498,51.231527
sample2,Pre-NACT,0,401,55,0.093763,13.715711
sample2,Pre-NACT,2,12,11,1.069017,91.666667
sample2,Pre-NACT,26,33,21,0.79699,63.636364
sample2,Pre-NACT,3,73,31,0.3835,42.465753
sample2,Pre-NACT,4,8,0,0.0,0.0
sample2,Pre-NACT,7,60,29,0.411633,48.333333
sample3,Pre-NACT,0,359,108,0.312395,30.083565
sample3,Pre-NACT,2,278,191,0.965873,68.705036
sample3,Pre-NACT,26,93,70,1.146358,75.268817
sample3,Pre-NACT,3,61,36,0.746278,59.016393
sample3,Pre-NACT,4,105,8,0.068708,7.619048
sample3,Pre-NACT,7,54,31,0.643158,57.407407
sample4,Post-NACT,0,104,29,0.203987,27.884615
sample4,Post-NACT,2,83,31,0.483618,37.349398
sample4,Post-NACT,26,39,26,0.990923,66.666667
sample4,Post-NACT,3,480,276,0.617791,57.5
sample4,Post-NACT,7,26,16,0.527586,61.538462
sample5,Post-NACT,0,169,46,0.248015,27.218935
sample5,Post-NACT,2,670,160,0.277383,23.880597
sample5,Post-NACT,26,5445,3981,1.345831,73.112948
sample5,Post-NACT,3,132,80,0.835256,60.606061
sample5,Post-NACT,4,18,4,0.218849,22.222222
sample5,Post-NACT,7,244,197,1.184075,80.737705
sample6,Post-NACT,0,920,352,0.366222,38.26087
sample6,Post-NACT,2,1135,366,0.424472,32.246696
sample6,Post-NACT,26,559,497,1.749741,88.908766
sample6,Post-NACT,3,972,692,1.035389,71.193416
sample6,Post-NACT,4,31,7,0.178493,22.580645
sample6,Post-NACT,7,394,300,0.870952,76.142132
sample7,Post-NACT,0,497,253,0.576033,50.905433
sample7,Post-NACT,2,152,90,0.883447,59.210526
sample7,Post-NACT,26,41,35,1.53082,85.365854
sample7,Post-NACT,3,73,60,1.026492,82.191781
sample7,Post-NACT,4,2,0,0.0,0.0
sample7,Post-NACT,7,55,44,0.946376,80.0
