gene,sample,mean_high,mean_undetected,effect_high_minus_undetected
MIR1302-2HG,sample2,0.0,0.0,0.0
FAM138A,sample2,0.0,0.0,0.0
OR4F5,sample2,0.0,0.0,0.0
AL627309.1,sample2,0.0,0.0,0.0
AL627309.3,sample2,0.0,0.0,0.0
AL627309.2,sample2,0.0,0.0,0.0
AL627309.5,sample2,0.0,0.0,0.0
AL627309.4,sample2,0.0,0.0,0.0
AP006222.2,sample2,0.0,0.0,0.0
AL732372.1,sample2,0.0,0.0,0.0
OR4F29,sample2,0.0,0.0,0.0
AC114498.1,sample2,0.0,0.0,0.0
OR4F16,sample2,0.0,0.0,0.0
AL669831.2,sample2,0.0,0.0,0.0
LINC01409,sample2,0.0,0.0,0.0
FAM87B,sample2,0.0,0.0,0.0
LINC01128,sample2,0.0,0.0,0.0
LINC00115,sample2,0.38892052,0.0,0.38892052
FAM41C,sample2,0.0,0.0,0.0
AL645608.6,sample2,0.0,0.0,0.0
AL645608.2,sample2,0.0,0.0,0.0
AL645608.4,sample2,0.0,0.0,0.0
LINC02593,sample2,0.0,0.0,0.0
SAMD11,sample2,0.0,0.0,0.0
NOC2L,sample2,0.0,0.14379895,-0.14379895
KLHL17,sample2,0.0,0.4529144,-0.4529144
PLEKHN1,sample2,0.0,0.0,0.0
PERM1,sample2,0.0,0.0,0.0
AL645608.7,sample2,0.2180711,0.0,0.2180711
HES4,sample2,0.33790556,0.0,0.33790556
ISG15,sample2,2.2901635,1.2762562,1.0139073
AL645608.1,sample2,0.0,0.0,0.0
AGRN,sample2,0.0,0.0,0.0
AL645608.5,sample2,0.0,0.0,0.0
AL645608.8,sample2,0.0,0.0,0.0
RNF223,sample2,0.0,0.0,0.0
C1orf159,sample2,0.0,0.06748153,-0.06748153
AL390719.3,sample2,0.0,0.0,0.0
LINC01342,sample2,0.0,0.0,0.0
AL390719.2,sample2,0.0,0.0,0.0
TTLL10-AS1,sample2,0.0,0.0,0.0
TTLL10,sample2,0.0,0.0,0.0
TNFRSF18,sample2,0.0,0.0,0.0
TNFRSF4,sample2,0.0,0.0,0.0
SDF4,sample2,0.84574646,0.3131532,0.53259325
B3GALT6,sample2,0.0,0.0,0.0
C1QTNF12,sample2,0.0,0.0,0.0
AL162741.1,sample2,0.0,0.0,0.0
UBE2J2,sample2,0.0,0.0,0.0
LINC01786,sample2,0.0,0.0,0.0
SCNN1D,sample2,0.0,0.0,0.0
ACAP3,sample2,0.0,0.29520378,-0.29520378
PUSL1,sample2,0.0,0.06748153,-0.06748153
INTS11,sample2,0.0,0.3192881,-0.3192881
AL139287.1,sample2,0.0,0.0,0.0
CPTP,sample2,0.0,0.0,0.0
TAS1R3,sample2,0.0,0.0,0.0
DVL1,sample2,0.0,0.0,0.0
MXRA8,sample2,0.0,0.0,0.0
AURKAIP1,sample2,0.0,0.5916721,-0.5916721
CCNL2,sample2,0.96558094,0.08927692,0.87630403
MRPL20-AS1,sample2,0.0,0.14379895,-0.14379895
MRPL20,sample2,0.7947315,0.44010878,0.35462272
AL391244.2,sample2,0.0,0.0,0.0
ANKRD65,sample2,0.0,0.0,0.0
AL391244.1,sample2,0.0,0.0,0.0
TMEM88B,sample2,0.0,0.0,0.0
LINC01770,sample2,0.0,0.0,0.0
VWA1,sample2,0.0,0.0,0.0
ATAD3C,sample2,0.0,0.0,0.0
ATAD3B,sample2,0.0,0.07620859,-0.07620859
ATAD3A,sample2,0.0,0.07620859,-0.07620859
TMEM240,sample2,0.0,0.0,0.0
SSU72,sample2,0.33274427,0.9272229,-0.5944786
AL645728.1,sample2,0.0,0.0,0.0
FNDC10,sample2,0.0,0.07620859,-0.07620859
AL691432.4,sample2,0.0,0.0,0.0
AL691432.2,sample2,0.0,0.0,0.0
MIB2,sample2,0.0,0.07620859,-0.07620859
MMP23B,sample2,0.0,0.0,0.0
CDK11B,sample2,0.38892052,0.0,0.38892052
FO704657.1,sample2,0.0,0.0,0.0
SLC35E2B,sample2,0.0,0.0,0.0
CDK11A,sample2,0.62767535,0.0,0.62767535
SLC35E2A,sample2,0.0,0.0,0.0
NADK,sample2,1.158601,0.08927692,1.0693241
GNB1,sample2,0.5714991,0.07620859,0.49529052
AL109917.1,sample2,0.0,0.0,0.0
CALML6,sample2,0.0,0.0,0.0
TMEM52,sample2,0.0,0.0,0.0
CFAP74,sample2,0.0,0.0,0.0
AL391845.2,sample2,0.0,0.0,0.0
GABRD,sample2,0.0,0.0,0.0
