gene,statistic,Post-NACT,Pre-NACT,Post_minus_Pre
STAB1,mean,1.4329417,0.92029065,0.512651
STAB1,median,1.4857293,1.0718946,0.4138347
SPP1,mean,3.4476233,3.2459223,0.20170093
SPP1,median,3.5192776,3.6685233,-0.14924574
TREM2,mean,1.3363113,0.98802304,0.3482883
TREM2,median,1.4874674,1.2491511,0.2383163
GPNMB,mean,1.158289,1.37751,-0.219221
GPNMB,median,1.0863483,1.5061525,-0.41980422
C1QA,mean,2.5613852,1.8550378,0.70634735
C1QA,median,2.4893086,1.7870135,0.70229506
C1QB,mean,2.6381712,1.5998193,1.0383519
C1QB,median,2.6149712,1.5105134,1.1044577
C1QC,mean,2.8800964,2.3464873,0.53360915
C1QC,median,2.8382835,2.157998,0.68028545
APOE,mean,3.545161,3.7025309,-0.15736985
APOE,median,3.8273396,3.5226274,0.3047123
APOC1,mean,2.9811234,2.9289541,0.052169323
APOC1,median,3.1857605,2.9762223,0.20953822
MRC1,mean,0.23990102,0.048556555,0.19134447
MRC1,median,0.21907991,0.04152258,0.17755733
CD163,mean,1.0666702,0.9883316,0.07833856
CD163,median,1.0796664,1.0055647,0.07410169
HLA-DRA,mean,3.426093,3.2983925,0.12770057
HLA-DRA,median,3.4250019,3.2216747,0.20332718
CD74,mean,5.0154076,4.1267486,0.888659
CD74,median,5.0944896,4.4869614,0.6075282
