sample,treatment,leiden,n_cells,percent_of_core_macrophages
sample1,Pre-NACT,0,8,4.519774011299435
sample1,Pre-NACT,5,66,37.28813559322034
sample1,Pre-NACT,11,103,58.19209039548023
sample2,Pre-NACT,0,23,9.387755102040817
sample2,Pre-NACT,5,207,84.48979591836735
sample2,Pre-NACT,11,15,6.122448979591836
sample3,Pre-NACT,0,86,13.312693498452012
sample3,Pre-NACT,5,320,49.53560371517028
sample3,Pre-NACT,11,240,37.15170278637771
sample4,Post-NACT,0,36,5.607476635514018
sample4,Post-NACT,5,482,75.0778816199377
sample4,Post-NACT,11,124,19.314641744548286
sample5,Post-NACT,0,4984,78.67403314917127
sample5,Post-NACT,5,573,9.044988161010261
sample5,Post-NACT,11,778,12.280978689818468
sample6,Post-NACT,0,484,14.55201443174985
sample6,Post-NACT,5,1678,50.45099218280217
sample6,Post-NACT,11,1164,34.996993385447986
sample7,Post-NACT,0,27,5.065666041275797
sample7,Post-NACT,5,327,61.350844277673545
sample7,Post-NACT,11,179,33.58348968105066
