gene,cluster_0_Post_minus_Pre,cluster_11_Post_minus_Pre,cluster_5_Post_minus_Pre
APOC1,0.052169323,0.78099346,0.39806855
APOE,-0.15736985,0.028121948,0.35188413
C1QA,0.70634735,-0.5681417,0.59637237
C1QB,1.0383519,-0.21289706,0.7925267
C1QC,0.53360915,-0.4170785,0.88039184
CD163,0.07833856,-0.28844726,0.29423517
CD74,0.888659,-0.2296052,-0.06188059
GPNMB,-0.219221,0.23994613,-0.06141299
HLA-DRA,0.12770057,-0.5728755,-0.5418291
MRC1,0.19134447,0.06818265,0.08691838
SPP1,0.20170093,0.5210494,0.8835803
STAB1,0.512651,-0.13659519,0.34257433
TREM2,0.3482883,0.3186792,0.34115422
